#;Učni cilji;Koncept/Vsebina;OBD;Podsklop;Sklop;Nivo
1;Otrok pozna in poimenuje digitalne naprave v okolju.;Računalniške naprave najdemo povsod okoli nas in so različnih oblik in ustrojev ter jih uporabljamo v različne namene.;0;Naprave;1;O
2;Otrok razume sestavo digitalnih naprav (ustroj).;Računalniške naprave najdemo povsod okoli nas in so različnih oblik in ustrojev ter jih uporabljamo v različne namene.;0;Naprave;1;O
3;Otrok razume, da digitalne naprave uporabljamo v različne namene.;Računalniške naprave najdemo povsod okoli nas in so različnih oblik in ustrojev ter jih uporabljamo v različne namene.;0;Naprave;1;O
4;Otrok razume, da digitalna naprava deluje, ko je vključena in tudi zna vključiti.;Računalniški sistem deluje, ko je vključen. Tedaj se prične odzivati na naša navodila ali na naše obnašanje.;0;Strojna in programska oprema;1;O
5;Otrok razume, da digitalna naprava deluje samo na osnovi človekovih navodil in ne sama po sebi.;Računalniški sistem deluje, ko je vključen. Tedaj se prične odzivati na naša navodila ali na naše obnašanje.;0;Strojna in programska oprema;1;O
6;Otrok razume, da digitalna naprava, ko je vključena, sprejema naša navodila in jih izvede.;Računalniški sistem deluje, ko je vključen. Tedaj se prične odzivati na naša navodila ali na naše obnašanje.;0;Strojna in programska oprema;1;O
7;Otrok razume, da se nekatere digitalne naprave odzivajo tudi na naše obnašanje, če imajo digitalne naprave komponente, s katerimi to lahko zaznajo.;Računalniški sistem deluje, ko je vključen. Tedaj se prične odzivati na naša navodila ali na naše obnašanje.;0;Strojna in programska oprema;1;O
8;Otrok razume, da lahko digitalna naprava na našo zahtevo v našem imenu drugi digitalni napravi sporoči navodila in jih ta tudi izvede. Na ta način se digitalne naprave povežejo v digitalni sistem.;Računalniški sistem deluje, ko je vključen. Tedaj se prične odzivati na naša navodila ali na naše obnašanje.;0;Strojna in programska oprema;1;O
9;Otrok razume, da digitalno napravo/ digitalni sistem uporabljamo z namenom, da dosežemo nek cilj. S tem namenom digitalni napravi/sistemu damo navodila.;Naša pričakovanja o delovanju računalniškega sistema so lahko drugačna od tega, kako sistem deluje.;0;Odpravljanje težav;1;O
10;Otrok razume, da pričakovanega cilja pa digitalna naprava/sistem lahko ne doseže, če: - smo dali napačna navodila ALI - naprava ne deluje pravilno.;Naša pričakovanja o delovanju računalniškega sistema so lahko drugačna od tega, kako sistem deluje.;0;Odpravljanje težav;1;O
11;Učenec pozna in poimenuje različne digitalne naprave v okolju za opravljanje različnih opravil.;Računalniške naprave, ki jo upravlja neka oblik računalnika, uporabljamo za natančno in hitro opravljanje različnih opravil. Računalniške naprave interpretirajo in izvedejo navodila, ki jih prejmejo.;1;Naprave;1;O
12;Učenec razume, da digitalna naprava deluje, ko je vključena in jo tudi zna vključiti.;Računalniške naprave, ki jo upravlja neka oblik računalnika, uporabljamo za natančno in hitro opravljanje različnih opravil. Računalniške naprave interpretirajo in izvedejo navodila, ki jih prejmejo.;1;Naprave;1;O
13;Učenec razume, da digitalna naprava deluje samo na osnovi človekovih navodil in ne sama po sebi.;Računalniške naprave, ki jo upravlja neka oblik računalnika, uporabljamo za natančno in hitro opravljanje različnih opravil. Računalniške naprave interpretirajo in izvedejo navodila, ki jih prejmejo.;1;Naprave;1;O
14;Navodila, ki jih človek da napravi, naprava interpretira (naprava posamezen ukaz v navodilih “razume” in ga ustrezno izvede).;Računalniške naprave, ki jo upravlja neka oblik računalnika, uporabljamo za natančno in hitro opravljanje različnih opravil. Računalniške naprave interpretirajo in izvedejo navodila, ki jih prejmejo.;1;Naprave;1;O
15;Učenec razume, da digitalna naprava lahko opravi dejavnosti hitreje kot človek z uporabo nedigitalne naprave (npr. kalkulator, iskanje podatkov / poti do cilja).;Računalniške naprave, ki jo upravlja neka oblik računalnika, uporabljamo za natančno in hitro opravljanje različnih opravil. Računalniške naprave interpretirajo in izvedejo navodila, ki jih prejmejo.;1;Naprave;1;O
16;"Učenec razume, da digitalna naprava lahko opravi dejavnosti natančneje kot človek z uporabo nedigitalne naprave (npr. digitalna tehtnica v primerjavi s tehtnico z utežmi; digitalni merilec hitrosti v primerjavi z nedigitalnim merilcem hitrosti).";Računalniške naprave, ki jo upravlja neka oblik računalnika, uporabljamo za natančno in hitro opravljanje različnih opravil. Računalniške naprave interpretirajo in izvedejo navodila, ki jih prejmejo.;1;Naprave;1;O
17;Učenec razume, da digitalna naprava deluje, ko je vključena.;Računalniški sistem je sestavljen iz strojne in programske opreme. Strojno opremo sestavljajo fizične komponente, programska oprema pa daje navodila za sistem. Ta navodila so predstavljena v obliki, ki je računalniku razumljiva.;1;Strojna in programska oprema;1;O
18;Učenec razume, da so digitalne naprave lahko povezane v digitalni sistem.;Računalniški sistem je sestavljen iz strojne in programske opreme. Strojno opremo sestavljajo fizične komponente, programska oprema pa daje navodila za sistem. Ta navodila so predstavljena v obliki, ki je računalniku razumljiva.;1;Strojna in programska oprema;1;O
19;Učenec razume, da je najpreprostejši digitalni sistem tisti, ki vključuje samo eno digitalno napravo.;Računalniški sistem je sestavljen iz strojne in programske opreme. Strojno opremo sestavljajo fizične komponente, programska oprema pa daje navodila za sistem. Ta navodila so predstavljena v obliki, ki je računalniku razumljiva.;1;Strojna in programska oprema;1;O
20;Učenec razume, da je digitalna naprava sestavljena iz fizičnih delov (strojne opreme) in navodil (programa), ki določajo, kaj naprava počne (programska oprema).;Računalniški sistem je sestavljen iz strojne in programske opreme. Strojno opremo sestavljajo fizične komponente, programska oprema pa daje navodila za sistem. Ta navodila so predstavljena v obliki, ki je računalniku razumljiva.;1;Strojna in programska oprema;1;O
21;Učene razume, da lahko z isto strojno opremo združujemo različne programske opreme (npr. B-RIN).;Računalniški sistem je sestavljen iz strojne in programske opreme. Strojno opremo sestavljajo fizične komponente, programska oprema pa daje navodila za sistem. Ta navodila so predstavljena v obliki, ki je računalniku razumljiva.;1;Strojna in programska oprema;1;O
22;Otrok razume, da digitalno napravo uporabljamo z namenom, da dosežemo nek cilj. S tem namenom digitalni napravi damo navodila.;Zaradi težav s strojno ali programsko opremo računalniški sistemi morda ne bodo delali po pričakovanjih. Jasen opis problema, nepričakovanega delovanja naprave, je prvi korak k iskanju rešitve.;1;Odpravljanje težav;1;O
23;"Učenec razume, da digitalna naprava ne doseže pričakovanega cilja, ker naprava ne deluje zaradi treh možnih razlogov: - podali smo ji napačna navodila; - strojna oprema ne deluje v skladu s pričakovanji; - programska oprema ne deluje v skladu s pričakovanji (npr. vpis številke TV in se pojavi napačni kanal; ipd.)";Zaradi težav s strojno ali programsko opremo računalniški sistemi morda ne bodo delali po pričakovanjih. Jasen opis problema, nepričakovanega delovanja naprave, je prvi korak k iskanju rešitve.;1;Odpravljanje težav;1;O
24;Učenec razume, da je za jasen opis problema potrebno zapisati zaporedje posameznih ukazov napravi in odzivov digitalne naprave nanje.;Zaradi težav s strojno ali programsko opremo računalniški sistemi morda ne bodo delali po pričakovanjih. Jasen opis problema, nepričakovanega delovanja naprave, je prvi korak k iskanju rešitve.;1;Odpravljanje težav;1;O
25;Učenec razume, da se funkcionalnost naprave poveča, če na napravo priključimo različne dodatne komponente (vhodno-izhodne naprave).;Računalniške naprave so lahko povezane z drugimi napravami ali komponentami za razširitev njihovih zmogljivosti, kot so zaznavanje in pošiljanje podatkov. Naprave in komponente so lahko povezane na različne načine, na primer fizične ali brezžične. Naprave in komponente skupaj tvorijo sistem medsebojno odvisnih delov, ki (so)delujejo za dosego skupnega cilja.;2;Naprave;1;O
26;Učenec razume, da se funkcionalnost naprave poveča tudi, če se naprava poveže z drugo napravo.;Računalniške naprave so lahko povezane z drugimi napravami ali komponentami za razširitev njihovih zmogljivosti, kot so zaznavanje in pošiljanje podatkov. Naprave in komponente so lahko povezane na različne načine, na primer fizične ali brezžične. Naprave in komponente skupaj tvorijo sistem medsebojno odvisnih delov, ki (so)delujejo za dosego skupnega cilja.;2;Naprave;1;O
27;Učenec razume, da so komponente oz. naprave povezane na različne načine (brezžična ali fizična povezava).;Računalniške naprave so lahko povezane z drugimi napravami ali komponentami za razširitev njihovih zmogljivosti, kot so zaznavanje in pošiljanje podatkov. Naprave in komponente so lahko povezane na različne načine, na primer fizične ali brezžične. Naprave in komponente skupaj tvorijo sistem medsebojno odvisnih delov, ki (so)delujejo za dosego skupnega cilja.;2;Naprave;1;O
28;Učenec razume, da povezane naprave in komponente skupaj tvorijo sistem medsebojno odvisnih delov, ki nudi določeno funkcionalnost.;Računalniške naprave so lahko povezane z drugimi napravami ali komponentami za razširitev njihovih zmogljivosti, kot so zaznavanje in pošiljanje podatkov. Naprave in komponente so lahko povezane na različne načine, na primer fizične ali brezžične. Naprave in komponente skupaj tvorijo sistem medsebojno odvisnih delov, ki (so)delujejo za dosego skupnega cilja.;2;Naprave;1;O
29;Učenec razume, da je bit osnovna enota za predstavljanje podatkov v računalniških sistemih in da ima bit vrednost 0 ali 1.;Strojna in programska oprema delujeta skupaj kot sistem za izvajanje nalog, kot so pošiljanje, sprejemanje, obdelava in shranjevanje podatkov v obliki zaporedja bitov. Biti služijo kot osnovna enota podatkov v računalniških sistemih in lahko predstavljajo različne vrste podatkov.;2;Strojna in programska oprema;1;O
30;Učenec razume, da so podatki v računalniških sistemih predstavljeni kot zaporedje bitov.;Strojna in programska oprema delujeta skupaj kot sistem za izvajanje nalog, kot so pošiljanje, sprejemanje, obdelava in shranjevanje podatkov v obliki zaporedja bitov. Biti služijo kot osnovna enota podatkov v računalniških sistemih in lahko predstavljajo različne vrste podatkov.;2;Strojna in programska oprema;1;O
31;Učenec pozna strategije odpravljanja težav, kot so preverjanje razpoložljivosti napajanja in delovanja povezav ter ponovni zagon.;Računalniški sistemi so si med seboj podobni glede na porabo energije in uporabo podatkov ter pomnilnika. Skupne strategije odpravljanja težav, kot so preverjanje razpoložljivosti napajanja, preverjanje delovanja fizičnih in brezžičnih povezav ter brisanje delovnega pomnilnika s ponovnim zagonom programov ali naprav, so učinkovite za številne sisteme.;2;Odpravljanje težav;1;O
32;Otrok razume, kaj so podatki.;Digitalne naprave zajemajo različne vrste podatkov. Nekateri od teh podatkov so tudi o nas.;0;Zbiranje;2;O
33;Otrok razume, kako zbiramo podatke.;Digitalne naprave zajemajo različne vrste podatkov. Nekateri od teh podatkov so tudi o nas.;0;Zbiranje;2;O
34;Otrok našteje, katere podatke zbirajo digitalne naprave.;Digitalne naprave zajemajo različne vrste podatkov. Nekateri od teh podatkov so tudi o nas.;0;Zbiranje;2;O
35;Otrok razume, kaj pomeni shranjevanje podatkov.;V računalnikih se podatki shranijo in kasneje jih lahko ponovno pogledamo. Podatke lahko posredujemo naprej.;0;Shranjevanje;2;O
36;Otrok razume, da podatke lahko posredujemo naprej.;V računalnikih se podatki shranijo in kasneje jih lahko ponovno pogledamo. Podatke lahko posredujemo naprej.;0;Shranjevanje;2;O
37;Otrok pozna načine prikazovanja podatkov.;Podatki so v različnih oblikah in jih lahko pogledamo na različne načine. Podatke lahko tudi spreminjamo (npr. Slike, …).;0;Prikazovanje in preoblikovanje;2;O
38;Otrok pozna načine osnovnega preoblikovanja podatkov. / Otrok razume, da lahko že zbrane podatke preoblikujejo, vendar je način, kako jih preoblikujemo odvisen od vrste podatka (npr. Z radirko ne moremo izbrisati digitalne slike).;Podatki so v različnih oblikah in jih lahko pogledamo na različne načine. Podatke lahko tudi spreminjamo (npr. Slike, …).;0;Prikazovanje in preoblikovanje;2;O
39;Otrok na podlagi zbranih podatkov razmišlja o napovedi lastnostih novega podatka.;Računalniki izvedejo operacije, če se vzorec zajetih podatkov dovolj dobro ujema z njegovim vzorcem.;0;Sklepanje in modeliranje;2;O
40;Učenec razume, da digitalne naprave v vsakdanjem življenju stalno zajemajo/zbirajo različne podatke.;Digitalne naprave stalno zajemajo in prikazujejo podatke. Zbiranje in uporaba podatkov o nas in svetu okrog nas so del vsakdanjega življenja.;1;Zbiranje;2;O
41;Učenec ve, da podatke shranjujemo, da lahko kasneje dostopamo do njih in jih uporabimo.;V računalnikih se shranjujejo podatki, da jih lahko kasneje pregledujemo. Podatke je možno kopirati in jih shranjevati na različnih lokacijah. To storimo, da lahko do njih dostopajo različni ljudje in to iz različnih razlogov, na primer zaradi zaščite pred izgubo.;1;Shranjevanje;2;O
42;Učenec zna poiskati/dostopati do/ pregledovati zbrane podatke v dani aplikaciji na digitalni napravi.;V računalnikih se shranjujejo podatki, da jih lahko kasneje pregledujemo. Podatke je možno kopirati in jih shranjevati na različnih lokacijah. To storimo, da lahko do njih dostopajo različni ljudje in to iz različnih razlogov, na primer zaradi zaščite pred izgubo.;1;Shranjevanje;2;O
43;Učenec zna izbrati lokacijo za shranjevanje podatkov glede na lastnosti lokacije (npr. v digitlanih napravi, v zunanji pomnilni enoti - npr. USB ključek ali v oblaku).;V računalnikih se shranjujejo podatki, da jih lahko kasneje pregledujemo. Podatke je možno kopirati in jih shranjevati na različnih lokacijah. To storimo, da lahko do njih dostopajo različni ljudje in to iz različnih razlogov, na primer zaradi zaščite pred izgubo.;1;Shranjevanje;2;O
44;Učenec razume, da je podatke možno prikazati v različnih oblikah (npr. slike, tabele, diagrami).;Podatke je možno prikazati v različnih oblikah. Računalnike uporabljamo, da jih prikažemo v denimo različnih načinih grafične predstavitve, kot so grafikoni in diagrami.;1;Prikazovanje in preoblikovanje;2;O
45;Učenec razume, da digitalne naprave v vsakdanjem življenju stalno zajemajo in prikazujejo podatke na različne načine.;Podatke je možno prikazati v različnih oblikah. Računalnike uporabljamo, da jih prikažemo v denimo različnih načinih grafične predstavitve, kot so grafikoni in diagrami.;1;Prikazovanje in preoblikovanje;2;O
46;Učenec prepozna vzorce v zbranih podatkih in na podlagi teh oblikuje sklepe in napove lastnosti novega vzorca.;Podatke lahko uporabimo za sklepanje in napovedovanje. Sklepe in trditve, do katerih ni mogoče priti z neposrednim opazovanjem, lahko pogosto pridobimo iz podatkov. Napovedi prihodnjih dogodkov večkrat izhajajo iz vzorcev, ki jih opazimo v podatkih, na primer iz njihovih vizualizacij ali modelov, kot so tabele in grafi.;1;Sklepanje in modeliranje;2;O
47;Učenec razume, da za zbiranje različnih vrst podatkov, uporabljamo različna digitalna orodja.;Digitalna orodja za zbiranje podatkov izbiramo glede na to, kaj se opazuje in kako bodo podatki uporabljeni. Tako, na primer, digitalni termometer uporabljamo za merjenje temperature in GPS za spremljanje lokacij.;2;Zbiranje;2;O
48;Učenec razume, da so podatki na digitalnih napravah praviloma shranjeni v datotekah, ki so razvrščene v mape.;Različni programi shranjujejo podatke na različne načine. Na način shranjevanja vplivata, na primer, tip podatkov in nivo podrobnosti.;2;Shranjevanje;2;O
49;Učenec razume, da so različne vrste (tipi) podatkov shranjene v različnih oblikah (formatih).;Različni programi shranjujejo podatke na različne načine. Na način shranjevanja vplivata, na primer, tip podatkov in nivo podrobnosti.;2;Shranjevanje;2;O
50;Učenec razume, da, če ima ime datoteke končnico, le-ta praviloma označuje format podatkov shranjenih v datoteki.;Različni programi shranjujejo podatke na različne načine. Na način shranjevanja vplivata, na primer, tip podatkov in nivo podrobnosti.;2;Shranjevanje;2;O
51;Učenec razume, da lahko podatke preoblikujemo in prikažemo na različne načine z namenom pridobivanja različnih vpogledov v podatke.;Podmnožice podatkov izbiramo, jih preoblikujemo, organiziramo, združujemo in razvrščamo v skupine, da bi pridobili različne vpoglede in spoznanja ter jih posredovali drugim.;2;Prikazovanje in preoblikovanje;2;O
52;Učenec razume, da lahko rezultat vpogleda v podatke uporabi v drugih programih.;Podmnožice podatkov izbiramo, jih preoblikujemo, organiziramo, združujemo in razvrščamo v skupine, da bi pridobili različne vpoglede in spoznanja ter jih posredovali drugim.;2;Prikazovanje in preoblikovanje;2;O
53;Učenec razume, da je točnost napovedi povezana s količino in kvaliteto uporabljenih podatkov: praviloma velja, da večja kot je količina podatkov, bolj točen je sklep.;Točnost sklepov in napovedi je povezana s tem, kako so podatki predstavljeni. Na točnost sklepanja in napovedovanja vplivajo številni dejavniki, na primer količina in relevantnost uporabljenih podatkov.;2;Sklepanje in modeliranje;2;O
54;Učenec razume, da je točnost sklepov lahko povezana s tem, kako so podatki predstavljeni (v računalniku).;Točnost sklepov in napovedi je povezana s tem, kako so podatki predstavljeni. Na točnost sklepanja in napovedovanja vplivajo številni dejavniki, na primer količina in relevantnost uporabljenih podatkov.;2;Sklepanje in modeliranje;2;O
55;Učenec presodi (kritično vrednoti) relevantnost uporabljenih podatkov za napoved.;Točnost sklepov in napovedi je povezana s tem, kako so podatki predstavljeni. Na točnost sklepanja in napovedovanja vplivajo številni dejavniki, na primer količina in relevantnost uporabljenih podatkov.;2;Sklepanje in modeliranje;2;O
56;"Otrok prepozna aktivnosti v življenju, pri katerih so za izvedbo potrebna natančno določena navodila (npr. zagon avtomobila; igranje skrivalnic, igranje kart..).";Marsikatero dejavnost, ki jo opravljamo v vsakdanjem življenju, opravljamo po natančno določenih navodilih (npr. kuhamo, se igramo, hodimo v park).;0;Algoritmi;3;O
57;Otrok v okolju prepoznava oblike informacij, ki prikazujejo značilnosti ljudi, živali in predmetov, na osnovni katerih ta predmet prepoznamo.;Informacije okoli nas so različnih oblik. Odvisno od oblike računalnik informacijo shrani tako, da jo lahko upravlja (npr. sliko, zvok).;0;Spremenljivke;3;O
58;Otrok v okolju prepoznava oblike informacij, ki jih lahko digitalna naprava razume.;Informacije okoli nas so različnih oblik. Odvisno od oblike računalnik informacijo shrani tako, da jo lahko upravlja (npr. sliko, zvok).;0;Spremenljivke;3;O
59;Otrok razume, da digitalna naprava informacije shranjuje tako, da jo lahko uporablja.;Informacije okoli nas so različnih oblik. Odvisno od oblike računalnik informacijo shrani tako, da jo lahko upravlja (npr. sliko, zvok).;0;Spremenljivke;3;O
60;Otrok razume, da je navodilo sestavljeno iz več manjših, vnaprej dogovorjenih osnovnih ukazov (npr. Greš naprej, greš nazaj, ne moreš po diagonali).;Navodila, ki jih dobimo, so sestavljena iz zaporedja osnovnih opravil, ki jih moramo izvesti drugega za drugim, dokler ne pridemo do njihovega konca oziroma cilja.;0;Nadzor;3;O
61;Otrok razume, da so ukazi postavljeni v točno določeno in nezamenljivo zaporedje, če želimo doseči zastavljen cilj.;Navodila, ki jih dobimo, so sestavljena iz zaporedja osnovnih opravil, ki jih moramo izvesti drugega za drugim, dokler ne pridemo do njihovega konca oziroma cilja.;0;Nadzor;3;O
62;Otrok pri vsakdanjih aktivnostih prepozna zaporedje korakov za doseganje ciljev.;Navodila, ki jih dobimo, so sestavljena iz zaporedja osnovnih opravil, ki jih moramo izvesti drugega za drugim, dokler ne pridemo do njihovega konca oziroma cilja.;0;Nadzor;3;O
63;Otrok razume, da je večji problem sestavljen iz manjših problemov.;Namesto, da problem rešimo z zelo dolgim zaporedjem osnovnih opravil, najprej razdelimo problem na smiselne dele in vsakega od njih rešimo z zaporedjem osnovnih opravil.;0;Modularnost;3;O
64;Otrok zna večji problem razdeliti na manjše, smiselne. Manjši problemi so samostojni problemi.;Namesto, da problem rešimo z zelo dolgim zaporedjem osnovnih opravil, najprej razdelimo problem na smiselne dele in vsakega od njih rešimo z zaporedjem osnovnih opravil.;0;Modularnost;3;O
65;Otrok prepozna, da lahko rešitev manjšega problema vedno uporabi pri reševanju tudi kakšnega drugega večjega problema, pri katerem je ponovno prepoznal isti manjši problem.;Namesto, da problem rešimo z zelo dolgim zaporedjem osnovnih opravil, najprej razdelimo problem na smiselne dele in vsakega od njih rešimo z zaporedjem osnovnih opravil.;0;Modularnost;3;O
66;Otrok razume, da so v proces reševanja problema vključeni različni ljudje, ki se dogovorijo, kako bodo skupno rešili problem.;Pri delu in tudi pri igri sodelujemo ter si pri tem razdelimo naloge.;0;Razvoj programov;3;O
67;Učenec razume, da procesi v okolju potekajo po določenem zaporedju korakov (navodilih – algoritmih).;V vsakdanjem življenju sledimo in ustvarjamo različne procese. Mnoge od teh procesov lahko izrazimo v obliki algoritmov, ki jim lahko sledijo tudi računalniki.;1;Algoritmi;3;O
68;Učenec razume, da zaporedja ukazov ne smemo spreminjati, če hočemo priti do cilja.;V vsakdanjem življenju sledimo in ustvarjamo različne procese. Mnoge od teh procesov lahko izrazimo v obliki algoritmov, ki jim lahko sledijo tudi računalniki.;1;Algoritmi;3;O
69;Učenec razume, da digitalna naprava razume samo posamezen ukaz in ne algoritma v celoti. Slednjemu samo sledi.;V vsakdanjem življenju sledimo in ustvarjamo različne procese. Mnoge od teh procesov lahko izrazimo v obliki algoritmov, ki jim lahko sledijo tudi računalniki.;1;Algoritmi;3;O
70;Učenec razume, da navodila za digitalne naprave zapišemo kot zaporedje korakov (ukazov). Učenec pozna pojem algoritem (navodilo za digitalno napravo).;V vsakdanjem življenju sledimo in ustvarjamo različne procese. Mnoge od teh procesov lahko izrazimo v obliki algoritmov, ki jim lahko sledijo tudi računalniki.;1;Algoritmi;3;O
71;Učenec v okolju prepoznava oblike informacij.;Informacije iz resničnega sveta je mogoče predstaviti v računalniških programih. Programi shranjujejo in upravljajo podatke, kot so števila, besede, barve, zvoki in slike. Vrsta podatkov določa, kaj lahko s temi podatki počnemo.;1;Spremenljivke;3;O
72;Učenec razume, da je informacije iz resničnega sveta mogoče predstaviti s pomočjo podatkov v digitalnih napravah.;Informacije iz resničnega sveta je mogoče predstaviti v računalniških programih. Programi shranjujejo in upravljajo podatke, kot so števila, besede, barve, zvoki in slike. Vrsta podatkov določa, kaj lahko s temi podatki počnemo.;1;Spremenljivke;3;O
73;Učenec razume, da naprava shranjene podatke obdeluje z izvajanjem programov.;Informacije iz resničnega sveta je mogoče predstaviti v računalniških programih. Programi shranjujejo in upravljajo podatke, kot so števila, besede, barve, zvoki in slike. Vrsta podatkov določa, kaj lahko s temi podatki počnemo.;1;Spremenljivke;3;O
74;Učenec razume, da vrsta podatkov določa, kaj lahko s temi podatki počnemo.;Informacije iz resničnega sveta je mogoče predstaviti v računalniških programih. Programi shranjujejo in upravljajo podatke, kot so števila, besede, barve, zvoki in slike. Vrsta podatkov določa, kaj lahko s temi podatki počnemo.;1;Spremenljivke;3;O
75;Učenec razume, da je navodilo sestavljeno iz več manjših osnovnih ukazov.;Računalniki sledijo natančnemu zaporedju navodil in s tem avtomatizirajo naloge. Izvajanje programa je lahko tudi ne-zaporedno, kar dosežemo s ponavljanjem vzorcev navodil in z uporabo dogodkov za zagon navodil.;1;Nadzor;3;O
76;Učenec razume, da so ukazi postavljeni v točno določeno in nezamenljivo zaporedje, če želimo doseči zastavljen cilj.;Računalniki sledijo natančnemu zaporedju navodil in s tem avtomatizirajo naloge. Izvajanje programa je lahko tudi ne-zaporedno, kar dosežemo s ponavljanjem vzorcev navodil in z uporabo dogodkov za zagon navodil.;1;Nadzor;3;O
77;Učenec pri vsakdanjih aktivnostih zna prepoznati in izvesti zaporedje korakov za doseganje ciljev.;Računalniki sledijo natančnemu zaporedju navodil in s tem avtomatizirajo naloge. Izvajanje programa je lahko tudi ne-zaporedno, kar dosežemo s ponavljanjem vzorcev navodil in z uporabo dogodkov za zagon navodil.;1;Nadzor;3;O
78;Učenec razume, da, ko so navodila napisana, digitalna naprava samodejno sledi in izvaja navodila oz. program (lahko tudi večkrat) brez posredovanja človeka- avtomatizacija.;Računalniki sledijo natančnemu zaporedju navodil in s tem avtomatizirajo naloge. Izvajanje programa je lahko tudi ne-zaporedno, kar dosežemo s ponavljanjem vzorcev navodil in z uporabo dogodkov za zagon navodil.;1;Nadzor;3;O
79;Učenec razume, da se ne-zaporedni koraki v navodilu lahko kažejo kot pogoji za izvedbo določenih korakov.;Računalniki sledijo natančnemu zaporedju navodil in s tem avtomatizirajo naloge. Izvajanje programa je lahko tudi ne-zaporedno, kar dosežemo s ponavljanjem vzorcev navodil in z uporabo dogodkov za zagon navodil.;1;Nadzor;3;O
80;Učenec prepozna in zapiše vzorec v zaporedju korakov;Računalniki sledijo natančnemu zaporedju navodil in s tem avtomatizirajo naloge. Izvajanje programa je lahko tudi ne-zaporedno, kar dosežemo s ponavljanjem vzorcev navodil in z uporabo dogodkov za zagon navodil.;1;Nadzor;3;O
81;Učenec ponavlja zaporedje ukazov (zanka = proces ponavljanja zaporedja ukazov) dokler ne pride do cilja aktivnosti.;Računalniki sledijo natančnemu zaporedju navodil in s tem avtomatizirajo naloge. Izvajanje programa je lahko tudi ne-zaporedno, kar dosežemo s ponavljanjem vzorcev navodil in z uporabo dogodkov za zagon navodil.;1;Nadzor;3;O
